"x","y"
175991.0531,139424.0541
175891.0176,139399.0453
175916.0265,139399.0453
175941.0353,139399.0453
175966.0442,139399.0453
175866.0088,139374.0364
175891.0176,139374.0364
175916.0265,139374.0364
175941.0353,139374.0364
175840.9999,139349.0276
175866.0088,139349.0276
175891.0176,139349.0276
175916.0265,139349.0276
175815.991,139324.0187
175840.9999,139324.0187
175866.0088,139324.0187
175891.0176,139324.0187
175765.9733,139299.0098
175790.9822,139299.0098
175815.991,139299.0098
175840.9999,139299.0098
175866.0088,139299.0098
175891.0176,139299.0098
175715.9556,139274.001
175740.9644,139274.001
175765.9733,139274.001
175790.9822,139274.001
175815.991,139274.001
175840.9999,139274.001
175866.0088,139274.001
175715.9556,139248.9921
175740.9644,139248.9921
175765.9733,139248.9921
175790.9822,139248.9921
175815.991,139248.9921
175840.9999,139248.9921
175690.9467,139223.9832
175715.9556,139223.9832
175740.9644,139223.9832
175765.9733,139223.9832
175790.9822,139223.9832
175815.991,139223.9832
175690.9467,139198.9744
175715.9556,139198.9744
175740.9644,139198.9744
175765.9733,139198.9744
175790.9822,139198.9744
175665.9379,139173.9655
175690.9467,139173.9655
175715.9556,139173.9655
175740.9644,139173.9655
175765.9733,139173.9655
175616.049,139148.9567
175641.0579,139148.9567
175665.9379,139148.9567
175690.9467,139148.9567
175715.9556,139148.9567
175740.9644,139148.9567
175765.9733,139148.9567
175616.049,139123.9478
175641.0579,139123.9478
175665.9379,139123.9478
175690.9467,139123.9478
175715.9556,139123.9478
175740.9644,139123.9478
175641.0579,139098.9389
175665.9379,139098.9389
175690.9467,139098.9389
175715.9556,139098.9389
175665.9379,139074.059
175690.9467,139074.059
175665.9379,139049.0501
