"x","y","A","pH_KCL","CEC","IB.samples"
175840.9999,139598.9873,16.162,7.2,14.1148,NA
175866.0088,139274.001,13.4,7.4,8.51,NA
175866.0088,139299.0098,12.605,7.23,8.192,NA
175866.0088,139324.0187,13.347,7.23,8.4888,2.28
175866.0088,139349.0276,16.117,7.17,9.5968,2.11
175866.0088,139374.0364,15.811,7.3,9.7744,1.96
175866.0088,139399.0453,18.457,7.29,11.8828,1.56
175866.0088,139424.0541,18.631,7.02,11.9524,1.53
175866.0088,139449.063,19.268,7.25,12.5072,1.33
175866.0088,139473.943,15.62,7.11,11.048,1.61
175866.0088,139498.9518,16.609,7.44,12.3436,NA
175866.0088,139523.9607,11.102,7.05,10.1408,1.62
175866.0088,139548.9695,12.714,7.01,10.7856,1.5
175866.0088,139573.9784,15.842,7.15,13.3868,1.23
175891.0176,139299.0098,13.542,6.93,8.5668,NA
175891.0176,139324.0187,13.288,7.08,8.4652,NA
175891.0176,139349.0276,14.728,7.26,8.8912,2.26
175891.0176,139374.0364,15.349,7.68,9.2896,2.11
175891.0176,139399.0453,10.881,7.08,8.1024,2.22
175891.0176,139424.0541,16.417,7.54,11.3668,NA
175891.0176,139449.063,20.24,6.94,13.046,1.36
175891.0176,139473.943,16.001,7.44,11.5004,NA
175891.0176,139498.9518,14.519,7.02,11.2076,NA
175891.0176,139523.9607,12.651,7.39,10.6104,NA
175891.0176,139548.9695,10.585,7.53,10.534,1.54
175891.0176,139573.9784,15.526,7.32,12.5104,1.37
175916.0265,139349.0276,14.515,6.51,8.956,NA
175916.0265,139374.0364,15.005,7.33,9.152,2.14
175916.0265,139399.0453,12.805,7.54,8.272,2.32
175916.0265,139424.0541,16.768,7.4,11.6572,1.49
175916.0265,139449.063,20.228,7.6,12.8912,1.36
175916.0265,139473.943,17.2,7.62,11.98,1.48
175916.0265,139498.9518,15.256,7.4,11.3524,NA
175916.0265,139523.9607,15.266,7.19,11.3564,NA
175916.0265,139548.9695,13.223,7.26,10.9892,1.47
175916.0265,139573.9784,13.152,7.43,10.8108,1.52
175941.0353,139374.0364,15.83,7.1,9.482,2.09
175941.0353,139399.0453,15.265,7.51,9.106,2.21
175941.0353,139424.0541,15.771,7.47,9.7584,1.9
175941.0353,139449.063,18.692,7.38,12.4268,NA
175941.0353,139473.943,21.073,7.6,13.6792,NA
175941.0353,139498.9518,15.577,7.32,11.4808,NA
175941.0353,139523.9607,15.486,7.26,11.1444,NA
175941.0353,139548.9695,14.852,7.35,11.7908,NA
175966.0442,139399.0453,15.083,7.5,9.1832,NA
